"id","nm","type"
"11.01","Aceh Selatan","Kabupaten"
"11.02","Aceh Tenggara","Kabupaten"
"11.03","Aceh Timur","Kabupaten"
"11.04","Aceh Tengah","Kabupaten"
"11.05","Aceh Barat","Kabupaten"
"11.06","Aceh Besar","Kabupaten"
"11.07","Pidie","Kabupaten"
"11.08","Aceh Utara","Kabupaten"
"11.09","Simeulue","Kabupaten"
"11.10","Aceh Singkil","Kabupaten"
"11.11","Bireuen","Kabupaten"
"11.12","Aceh Barat Daya","Kabupaten"
"11.13","Gayo Lues","Kabupaten"
"11.14","Aceh Jaya","Kabupaten"
"11.15","Nagan Raya","Kabupaten"
"11.16","Aceh Tamiang","Kabupaten"
"11.17","Bener Meriah","Kabupaten"
"11.18","Pidie Jaya","Kabupaten"
"11.71","Banda Aceh","Kota"
"11.72","Sabang","Kota"
"11.73","Lhokseumawe","Kota"
"11.74","Langsa","Kota"
"11.75","Subulussalam","Kota"
"12.01","Tapanuli Tengah","Kabupaten"
"12.02","Tapanuli Utara","Kabupaten"
"12.03","Tapanuli Selatan","Kabupaten"
"12.04","Nias","Kabupaten"
"12.05","Langkat","Kabupaten"
"12.06","Karo","Kabupaten"
"12.07","Deli Serdang","Kabupaten"
"12.08","Simalungun","Kabupaten"
"12.09","Asahan","Kabupaten"
"12.10","Labuhanbatu","Kabupaten"
"12.11","Dairi","Kabupaten"
"12.12","Toba Samosir","Kabupaten"
"12.13","Mandailing Natal","Kabupaten"
"12.14","Nias Selatan","Kabupaten"
"12.15","Pakpak Bharat","Kabupaten"
"12.16","Humbang Hasundutan","Kabupaten"
"12.17","Samosir","Kabupaten"
"12.18","Serdang Bedagai","Kabupaten"
"12.19","Batu Bara","Kabupaten"
"12.20","Padang Lawas Utara","Kabupaten"
"12.21","Padang Lawas","Kabupaten"
"12.22","Labuhanbatu Selatan","Kabupaten"
"12.23","Labuhanbatu Utara","Kabupaten"
"12.24","Nias Utara","Kabupaten"
"12.25","Nias Barat","Kabupaten"
"12.71","Medan","Kota"
"12.72","Pematang Siantar","Kota"
"12.73","Sibolga","Kota"
"12.74","Tanjung Balai","Kota"
"12.75","Binjai","Kota"
"12.76","Tebing Tinggi","Kota"
"12.77","Padang Sidempuan","Kota"
"12.78","Gunungsitoli","Kota"
"13.01","Pesisir Selatan","Kabupaten"
"13.02","Solok","Kabupaten"
"13.03","Sijunjung","Kabupaten"
"13.04","Tanah Datar","Kabupaten"
"13.05","Padang Pariaman","Kabupaten"
"13.06","Agam","Kabupaten"
"13.07","Lima Puluh Kota","Kabupaten"
"13.08","Pasaman","Kabupaten"
"13.09","Kepulauan Mentawai","Kabupaten"
"13.10","Dharmasraya","Kabupaten"
"13.11","Solok Selatan","Kabupaten"
"13.12","Pasaman Barat","Kabupaten"
"13.71","Padang","Kota"
"13.72","Solok","Kota"
"13.73","Sawah Lunto","Kota"
"13.74","Padang Panjang","Kota"
"13.75","Bukittinggi","Kota"
"13.76","Payakumbuh","Kota"
"13.77","Pariaman","Kota"
"14.01","Kampar","Kabupaten"
"14.02","Indragiri Hulu","Kabupaten"
"14.03","Bengkalis","Kabupaten"
"14.04","Indragiri Hilir","Kabupaten"
"14.05","Pelalawan","Kabupaten"
"14.06","Rokan Hulu","Kabupaten"
"14.07","Rokan Hilir","Kabupaten"
"14.08","Siak","Kabupaten"
"14.09","Kuantan Singingi","Kabupaten"
"14.10","Kepulauan Meranti","Kabupaten"
"14.71","Pekanbaru","Kota"
"14.72","Dumai","Kota"
"15.01","Kerinci","Kabupaten"
"15.02","Merangin","Kabupaten"
"15.03","Sarolangun","Kabupaten"
"15.04","Batang Hari","Kabupaten"
"15.05","Muaro Jambi","Kabupaten"
"15.06","Tanjung Jabung Barat","Kabupaten"
"15.07","Tanjung Jabung Timur","Kabupaten"
"15.08","Bungo","Kabupaten"
"15.09","Tebo","Kabupaten"
"15.71","Jambi","Kota"
"15.72","Sungaipenuh","Kota"
"16.01","Ogan Komering Ulu","Kabupaten"
"16.02","Ogan Komering Ilir","Kabupaten"
"16.03","Muara Enim","Kabupaten"
"16.04","Lahat","Kabupaten"
"16.05","Musi Rawas","Kabupaten"
"16.06","Musi Banyuasin","Kabupaten"
"16.07","Banyuasin","Kabupaten"
"16.08","Ogan Komering Ulu Timur","Kabupaten"
"16.09","Ogan Komering Ulu Selatan","Kabupaten"
"16.10","Ogan Ilir","Kabupaten"
"16.11","Empat Lawang","Kabupaten"
"16.12","Penukal Abab Lematang Ilir","Kabupaten"
"16.13","Musi Rawas Utara","Kabupaten"
"16.71","Palembang","Kota"
"16.72","Pagar Alam","Kota"
"16.73","Lubuk Linggau","Kota"
"16.74","Prabumulih","Kota"
"17.01","Bengkulu Selatan","Kabupaten"
"17.02","Rejang Lebong","Kabupaten"
"17.03","Bengkulu Utara","Kabupaten"
"17.04","Kaur","Kabupaten"
"17.05","Seluma","Kabupaten"
"17.06","Muko Muko","Kabupaten"
"17.07","Lebong","Kabupaten"
"17.08","Kepahiang","Kabupaten"
"17.09","Bengkulu Tengah","Kabupaten"
"17.71","Bengkulu","Kota"
"18.01","Lampung Selatan","Kabupaten"
"18.02","Lampung Tengah","Kabupaten"
"18.03","Lampung Utara","Kabupaten"
"18.04","Lampung Barat","Kabupaten"
"18.05","Tulang Bawang","Kabupaten"
"18.06","Tanggamus","Kabupaten"
"18.07","Lampung Timur","Kabupaten"
"18.08","Way Kanan","Kabupaten"
"18.09","Pesawaran","Kabupaten"
"18.10","Pringsewu","Kabupaten"
"18.11","Mesuji","Kabupaten"
"18.12","Tulang Bawang Barat","Kabupaten"
"18.13","Pesisir Barat","Kabupaten"
"18.71","Bandar Lampung","Kota"
"18.72","Metro","Kota"
"19.01","Bangka","Kabupaten"
"19.02","Belitung","Kabupaten"
"19.03","Bangka Selatan","Kabupaten"
"19.04","Bangka Tengah","Kabupaten"
"19.05","Bangka Barat","Kabupaten"
"19.06","Belitung Timur","Kabupaten"
