"id","nm","zip"
"11.01.01.2001","Keude Bakongan","23773"
"11.01.01.2002","Ujong Mangki (Ujung Mangki)","23773"
"11.01.01.2003","Ujong Padang (Ujung Padang)","23773"
"11.01.01.2004","Gampong Drien (Kampung Drien)","23773"
"11.01.01.2015","Darul Ikhsan","23773"
"11.01.01.2016","Padang Beurahan (Padang Berahan)","23773"
"11.01.01.2017","Gampong Baro (Kampung Baru)","23773"
"11.01.02.2001","Fajar Harapan","23771"
"11.01.02.2002","Krueng Batee","23771"
"11.01.02.2003","Pasi Kuala Asahan","23771"
"11.01.02.2004","Gunung Pulo (Gunong Pulo)","23771"
"11.01.02.2005","Pulo Ie I","23771"
"11.01.02.2006","Jambo Manyang","23771"
"11.01.02.2007","Simpang Empat","23771"
"11.01.02.2008","Limau Purut (Kota Fajar)","23771"
"11.01.02.2009","Pulo Kambing","23771"
"11.01.02.2010","Kampung Paya","23771"
"11.01.02.2011","Krueng Batu","23771"
"11.01.02.2012","Krueng Kluet","23771"
"11.01.02.2013","Alur Mas","23771"
"11.01.02.2014","Kampung Tinggi","23771"
"11.01.02.2015","Ruak (Kampung Ruak)","23771"
"11.01.02.2016","Simpang Lhee","23771"
"11.01.02.2017","Suaq Geuringgeng (Geringgeng)","23771"
"11.01.02.2018","Pasi Kuala Ba'u (Pasi Kuala Bau)","23771"
"11.01.02.2019","Kedai Padang","23771"
"11.01.02.2020","Kotafajar","23771"
"11.01.02.2021","Gunung Pudung","23771"
"11.01.03.2001","Suaq Bakung (Suaq Bakong)","23772"
"11.01.03.2002","Rantau Binuang","23772"
"11.01.03.2003","Barat Daya","23772"
"11.01.03.2004","Sialang","23772"
"11.01.03.2005","Kapeh","23772"
"11.01.03.2006","Pulo Ie","23772"
"11.01.03.2007","Kedai Runding","23772"
"11.01.03.2008","Kedai Kandang","23772"
"11.01.03.2009","Luar (Gampong Luar)","23772"
"11.01.03.2010","Ujung","23772"
"11.01.03.2011","Jua","23772"
"11.01.03.2012","Pasi Meurapat (Pasi Merapat)","23772"
"11.01.03.2013","Ujung Pasir","23772"
"11.01.03.2014","Geulumbuk (Gelumbuk)","23772"
"11.01.03.2015","Pasie Lembang (Pasi Lembang)","23772"
"11.01.03.2016","Ujung Padang","23772"
"11.01.03.2017","Indra Damai","23772"
"11.01.04.2001","Bakau Hulu","23761"
"11.01.04.2002","Padang Bakau","23761"
"11.01.04.2003","Manggis Harapan","23761"
"11.01.04.2004","Pasar Lama","23761"
"11.01.04.2005","Apha","23761"
"11.01.04.2006","Ujung Batu","23761"
"11.01.04.2007","Pawoh","23761"
"11.01.04.2008","Dalam","23761"
"11.01.04.2009","Kota Palak","23761"
"11.01.04.2010","Cacang","23761"
"11.01.04.2011","Tengah Pisang","23761"
"11.01.04.2012","Pisang","23761"
"11.01.04.2013","Hulu Pisang","23761"
"11.01.04.2014","Tengah Baru","23761"
"11.01.04.2015","Lembah Baru","23761"
"11.01.04.2016","Padang Baru","23761"
"11.01.05.2001","Kuta Buloh II","23754"
"11.01.05.2002","Kuta Buloh I","23754"
"11.01.05.2003","Ie/Le Dingen","23754"
"11.01.05.2004","Drien Jalo","23754"
"11.01.05.2005","Jambo Papeun","23754"
"11.01.05.2006","Buket Meuh","23754"
"11.01.05.2007","Blang Kuala","23754"
"11.01.05.2008","Rot Teungoh","23754"
"11.01.05.2009","Alue Baro","23754"
"11.01.05.2010","Ladang Tuha","23754"
"11.01.05.2011","Lhok Mamplam","23754"
"11.01.05.2012","Aron/Arun Tunggai","23754"
"11.01.05.2013","Blang Teungoh","23754"
"11.01.05.2014","Blang Bladeh","23754"
